date,time,weekday,os,country,page
2021-10-01,17:00:00,Friday,Android,United States,Landing
2021-10-01,17:00:00,Friday,Mac,Canada,Detail
2021-10-01,17:00:00,Friday,Windows,United States,Landing
2021-10-01,17:00:00,Friday,Android,United States,Landing
2021-10-01,17:00:00,Friday,Android,New Zealand,Shopping Cart
2021-10-01,17:00:00,Friday,Windows,United States,Order completed
2021-10-01,17:00:00,Friday,Windows,Canada,Landing
2021-10-01,17:00:00,Friday,Windows,Brazil,Landing
2021-10-01,17:00:00,Friday,Android,Canada,Landing
2021-10-01,17:00:00,Friday,Windows,United States,Landing
2021-10-01,17:00:00,Friday,Windows,United States,Order completed
2021-10-01,17:00:00,Friday,Android,United States,Landing
2021-10-01,17:00:00,Friday,Android,Canada,Checkout
2021-10-01,17:00:00,Friday,Android,Australia,Landing
2021-10-01,17:00:00,Friday,Windows,Canada,Shopping Cart
2021-10-01,17:00:00,Friday,iOS,Canada,Shopping Cart
2021-10-01,17:00:00,Friday,iOS,United Kingdom,Landing
2021-10-01,17:00:00,Friday,Android,United States,Landing
2021-10-01,17:00:00,Friday,Windows,United States,Order completed
2021-10-01,17:00:00,Friday,Windows,United Kingdom,Landing
2021-10-01,17:00:00,Friday,Android,New Zealand,Checkout
2021-10-01,17:00:00,Friday,Mac,Australia,Detail
2021-10-01,17:00:00,Friday,iOS,Australia,Landing
2021-10-01,18:00:00,Friday,Android,United States,Landing
2021-10-01,18:00:00,Friday,Android,Canada,Checkout
2021-10-01,18:00:00,Friday,Mac,United States,Landing
2021-10-01,18:00:00,Friday,Windows,Canada,Landing
2021-10-01,18:00:00,Friday,iOS,United States,Landing
2021-10-01,18:00:00,Friday,Windows,Germany,Shopping Cart
2021-10-01,18:00:00,Friday,Android,New Zealand,Landing
2021-10-01,18:00:00,Friday,Mac,Mexico,Checkout
2021-10-01,18:00:00,Friday,Mac,United Kingdom,Checkout
2021-10-01,18:00:00,Friday,Windows,New Zealand,Shopping Cart
2021-10-01,18:00:00,Friday,iOS,Brazil,Detail
2021-10-01,18:00:00,Friday,Android,Canada,Shopping Cart
2021-10-01,18:00:00,Friday,Android,United States,Landing
2021-10-01,18:00:00,Friday,Mac,Canada,Detail
2021-10-01,18:00:00,Friday,Windows,Canada,Checkout
2021-10-01,19:00:00,Friday,Windows,United States,Landing
2021-10-01,19:00:00,Friday,Android,Brazil,Landing
2021-10-01,19:00:00,Friday,Windows,United Kingdom,Checkout
2021-10-01,19:00:00,Friday,Android,United Kingdom,Landing
2021-10-01,19:00:00,Friday,Windows,United States,Landing
2021-10-01,19:00:00,Friday,Android,United States,Landing
2021-10-01,19:00:00,Friday,Windows,New Zealand,Shopping Cart
2021-10-01,19:00:00,Friday,Mac,Germany,Shopping Cart
2021-10-01,19:00:00,Friday,Mac,United Kingdom,Detail
2021-10-01,19:00:00,Friday,Windows,United States,Checkout
2021-10-01,19:00:00,Friday,Windows,Australia,Landing
2021-10-01,19:00:00,Friday,Android,Canada,Landing
2021-10-01,19:00:00,Friday,Windows,Brazil,Checkout
2021-10-01,19:00:00,Friday,Android,United States,Landing
2021-10-01,19:00:00,Friday,iOS,United States,Shopping Cart
2021-10-01,19:00:00,Friday,Android,United States,Checkout
2021-10-01,19:00:00,Friday,Android,United States,Order completed
2021-10-01,20:00:00,Friday,Android,Australia,Landing
2021-10-01,20:00:00,Friday,Mac,Canada,Landing
2021-10-01,20:00:00,Friday,Android,Australia,Landing
2021-10-01,20:00:00,Friday,Android,United States,Shopping Cart
2021-10-01,20:00:00,Friday,Linux,New Zealand,Landing
2021-10-01,20:00:00,Friday,Windows,Germany,Landing
2021-10-01,20:00:00,Friday,Android,United Kingdom,Checkout
2021-10-01,20:00:00,Friday,Android,Australia,Landing
2021-10-01,20:00:00,Friday,iOS,Canada,Landing
2021-10-01,20:00:00,Friday,Mac,United States,Landing
2021-10-01,20:00:00,Friday,Android,United Kingdom,Detail
2021-10-01,20:00:00,Friday,Windows,United Kingdom,Landing
2021-10-01,20:00:00,Friday,Android,United Kingdom,Landing
2021-10-01,20:00:00,Friday,Windows,Canada,Checkout
2021-10-01,20:00:00,Friday,Android,Canada,Landing
2021-10-01,20:00:00,Friday,Windows,United Kingdom,Landing
2021-10-01,20:00:00,Friday,Windows,United Kingdom,Checkout
2021-10-01,20:00:00,Friday,Windows,United States,Landing
2021-10-01,21:00:00,Friday,Mac,New Zealand,Shopping Cart
2021-10-01,21:00:00,Friday,Mac,Russia,Landing
2021-10-01,21:00:00,Friday,Android,Mexico,Landing
2021-10-01,21:00:00,Friday,Mac,Canada,Detail
2021-10-01,21:00:00,Friday,Android,United Kingdom,Shopping Cart
2021-10-01,21:00:00,Friday,iOS,New Zealand,Landing
2021-10-01,21:00:00,Friday,Windows,Brazil,Order completed
2021-10-01,21:00:00,Friday,Mac,Germany,Detail
2021-10-01,21:00:00,Friday,Android,United Kingdom,Landing
2021-10-01,21:00:00,Friday,Android,New Zealand,Landing
2021-10-01,21:00:00,Friday,Windows,United Kingdom,Order completed
2021-10-01,22:00:00,Friday,Linux,United States,Landing
2021-10-01,22:00:00,Friday,Windows,Australia,Landing
2021-10-01,22:00:00,Friday,Windows,New Zealand,Detail
2021-10-01,22:00:00,Friday,Mac,Russia,Landing
2021-10-01,22:00:00,Friday,iOS,United States,Landing
2021-10-01,22:00:00,Friday,Linux,United States,Checkout
2021-10-01,22:00:00,Friday,Android,United Kingdom,Shopping Cart
2021-10-01,22:00:00,Friday,Mac,United States,Landing
2021-10-01,22:00:00,Friday,Linux,Canada,Checkout
2021-10-01,22:00:00,Friday,Android,Australia,Landing
2021-10-01,22:00:00,Friday,Android,United Kingdom,Detail
2021-10-01,22:00:00,Friday,Mac,United Kingdom,Shopping Cart
2021-10-01,22:00:00,Friday,Mac,New Zealand,Landing
2021-10-01,23:00:00,Friday,Windows,Australia,Shopping Cart
2021-10-01,23:00:00,Friday,Windows,Canada,Landing
2021-10-01,23:00:00,Friday,Mac,Canada,Detail
2021-10-01,23:00:00,Friday,Mac,United Kingdom,Detail
2021-10-01,23:00:00,Friday,iOS,United States,Landing
2021-10-01,23:00:00,Friday,Mac,United States,Landing
2021-10-01,23:00:00,Friday,Android,United States,Landing
2021-10-01,23:00:00,Friday,Android,Canada,Landing
2021-10-01,23:00:00,Friday,iOS,United States,Shopping Cart
2021-10-01,23:00:00,Friday,Android,United Kingdom,Landing
2021-10-01,23:00:00,Friday,Windows,United States,Detail
2021-10-02,00:00:00,Saturday,Windows,Canada,Checkout
2021-10-02,00:00:00,Saturday,iOS,Australia,Detail
2021-10-02,00:00:00,Saturday,Mac,United States,Landing
2021-10-02,00:00:00,Saturday,Linux,New Zealand,Landing
2021-10-02,00:00:00,Saturday,Windows,New Zealand,Shopping Cart
2021-10-02,00:00:00,Saturday,Mac,Canada,Shopping Cart
2021-10-02,00:00:00,Saturday,Android,United States,Checkout
2021-10-02,00:00:00,Saturday,Mac,United States,Shopping Cart
2021-10-02,00:00:00,Saturday,Mac,United Kingdom,Landing
2021-10-02,01:00:00,Saturday,iOS,New Zealand,Order completed
2021-10-02,01:00:00,Saturday,Windows,New Zealand,Detail
2021-10-02,01:00:00,Saturday,Android,New Zealand,Detail
2021-10-02,01:00:00,Saturday,Android,United States,Detail
2021-10-02,01:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,01:00:00,Saturday,Windows,United States,Landing
2021-10-02,01:00:00,Saturday,Windows,United States,Landing
2021-10-02,01:00:00,Saturday,Windows,United States,Landing
2021-10-02,01:00:00,Saturday,Android,Canada,Shopping Cart
2021-10-02,01:00:00,Saturday,Android,United Kingdom,Checkout
2021-10-02,01:00:00,Saturday,Windows,New Zealand,Order completed
2021-10-02,01:00:00,Saturday,Mac,United States,Landing
2021-10-02,02:00:00,Saturday,Windows,Canada,Detail
2021-10-02,02:00:00,Saturday,Windows,United States,Checkout
2021-10-02,02:00:00,Saturday,Mac,Australia,Landing
2021-10-02,02:00:00,Saturday,Mac,United States,Shopping Cart
2021-10-02,02:00:00,Saturday,Android,Australia,Order completed
2021-10-02,02:00:00,Saturday,Android,Mexico,Landing
2021-10-02,02:00:00,Saturday,Android,United States,Shopping Cart
2021-10-02,02:00:00,Saturday,Windows,Russia,Shopping Cart
2021-10-02,03:00:00,Saturday,Linux,United States,Detail
2021-10-02,03:00:00,Saturday,Android,United States,Shopping Cart
2021-10-02,03:00:00,Saturday,Android,Canada,Detail
2021-10-02,03:00:00,Saturday,Windows,United Kingdom,Landing
2021-10-02,04:00:00,Saturday,Windows,Canada,Detail
2021-10-02,04:00:00,Saturday,Windows,Canada,Detail
2021-10-02,04:00:00,Saturday,Windows,United Kingdom,Landing
2021-10-02,04:00:00,Saturday,iOS,United States,Checkout
2021-10-02,04:00:00,Saturday,Mac,United States,Order completed
2021-10-02,04:00:00,Saturday,iOS,Australia,Landing
2021-10-02,04:00:00,Saturday,Mac,New Zealand,Landing
2021-10-02,04:00:00,Saturday,Android,Canada,Landing
2021-10-02,04:00:00,Saturday,Linux,New Zealand,Landing
2021-10-02,04:00:00,Saturday,Windows,United Kingdom,Detail
2021-10-02,05:00:00,Saturday,Android,Canada,Landing
2021-10-02,05:00:00,Saturday,Android,United Kingdom,Detail
2021-10-02,05:00:00,Saturday,Mac,United Kingdom,Landing
2021-10-02,05:00:00,Saturday,Linux,Canada,Landing
2021-10-02,05:00:00,Saturday,Android,United States,Detail
2021-10-02,05:00:00,Saturday,Windows,Brazil,Landing
2021-10-02,05:00:00,Saturday,Android,Brazil,Detail
2021-10-02,05:00:00,Saturday,Linux,United States,Shopping Cart
2021-10-02,05:00:00,Saturday,Android,Canada,Landing
2021-10-02,05:00:00,Saturday,iOS,Canada,Landing
2021-10-02,05:00:00,Saturday,iOS,United States,Order completed
2021-10-02,05:00:00,Saturday,Windows,Canada,Landing
2021-10-02,05:00:00,Saturday,Mac,Australia,Detail
2021-10-02,05:00:00,Saturday,Linux,Canada,Detail
2021-10-02,05:00:00,Saturday,Mac,United States,Detail
2021-10-02,06:00:00,Saturday,Windows,United States,Shopping Cart
2021-10-02,06:00:00,Saturday,Windows,Russia,Landing
2021-10-02,06:00:00,Saturday,Mac,Canada,Landing
2021-10-02,06:00:00,Saturday,iOS,Canada,Detail
2021-10-02,06:00:00,Saturday,Android,United States,Landing
2021-10-02,06:00:00,Saturday,Linux,United States,Landing
2021-10-02,06:00:00,Saturday,Windows,Australia,Shopping Cart
2021-10-02,06:00:00,Saturday,Windows,New Zealand,Landing
2021-10-02,06:00:00,Saturday,Android,United States,Landing
2021-10-02,07:00:00,Saturday,Android,United States,Landing
2021-10-02,07:00:00,Saturday,Mac,Mexico,Landing
2021-10-02,07:00:00,Saturday,Windows,United Kingdom,Landing
2021-10-02,07:00:00,Saturday,Android,New Zealand,Detail
2021-10-02,07:00:00,Saturday,Windows,United States,Landing
2021-10-02,07:00:00,Saturday,Mac,United States,Landing
2021-10-02,07:00:00,Saturday,Windows,New Zealand,Shopping Cart
2021-10-02,07:00:00,Saturday,Windows,United States,Order completed
2021-10-02,07:00:00,Saturday,Android,United States,Detail
2021-10-02,07:00:00,Saturday,Windows,United States,Landing
2021-10-02,07:00:00,Saturday,Android,United States,Landing
2021-10-02,08:00:00,Saturday,Mac,Canada,Landing
2021-10-02,08:00:00,Saturday,Mac,New Zealand,Detail
2021-10-02,08:00:00,Saturday,Linux,Australia,Detail
2021-10-02,08:00:00,Saturday,Windows,Australia,Checkout
2021-10-02,08:00:00,Saturday,iOS,Canada,Order completed
2021-10-02,08:00:00,Saturday,Android,Canada,Landing
2021-10-02,08:00:00,Saturday,Windows,New Zealand,Detail
2021-10-02,08:00:00,Saturday,Windows,Canada,Shopping Cart
2021-10-02,08:00:00,Saturday,Windows,United States,Landing
2021-10-02,08:00:00,Saturday,iOS,Australia,Checkout
2021-10-02,08:00:00,Saturday,Mac,Canada,Landing
2021-10-02,08:00:00,Saturday,Mac,Australia,Landing
2021-10-02,08:00:00,Saturday,Android,United States,Shopping Cart
2021-10-02,08:00:00,Saturday,Windows,United Kingdom,Landing
2021-10-02,09:00:00,Saturday,Android,United Kingdom,Shopping Cart
2021-10-02,09:00:00,Saturday,Windows,Canada,Order completed
2021-10-02,09:00:00,Saturday,Android,Brazil,Detail
2021-10-02,09:00:00,Saturday,Windows,Australia,Order completed
2021-10-02,09:00:00,Saturday,Android,Canada,Landing
2021-10-02,09:00:00,Saturday,Mac,Australia,Shopping Cart
2021-10-02,09:00:00,Saturday,Windows,United States,Detail
2021-10-02,09:00:00,Saturday,Android,Brazil,Landing
2021-10-02,09:00:00,Saturday,Mac,Canada,Checkout
2021-10-02,10:00:00,Saturday,Android,Australia,Detail
2021-10-02,10:00:00,Saturday,Windows,United Kingdom,Landing
2021-10-02,10:00:00,Saturday,Mac,Russia,Landing
2021-10-02,10:00:00,Saturday,Mac,United Kingdom,Order completed
2021-10-02,10:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,10:00:00,Saturday,Windows,United States,Detail
2021-10-02,10:00:00,Saturday,iOS,Canada,Landing
2021-10-02,10:00:00,Saturday,Windows,Canada,Shopping Cart
2021-10-02,10:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,10:00:00,Saturday,Windows,United Kingdom,Detail
2021-10-02,10:00:00,Saturday,Windows,Canada,Checkout
2021-10-02,10:00:00,Saturday,Android,United States,Landing
2021-10-02,10:00:00,Saturday,Windows,Germany,Checkout
2021-10-02,10:00:00,Saturday,iOS,Canada,Landing
2021-10-02,11:00:00,Saturday,Windows,United Kingdom,Shopping Cart
2021-10-02,11:00:00,Saturday,iOS,United Kingdom,Landing
2021-10-02,11:00:00,Saturday,Windows,United States,Landing
2021-10-02,11:00:00,Saturday,Windows,Canada,Detail
2021-10-02,11:00:00,Saturday,Linux,Russia,Detail
2021-10-02,11:00:00,Saturday,iOS,United States,Shopping Cart
2021-10-02,11:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,11:00:00,Saturday,Windows,Mexico,Landing
2021-10-02,11:00:00,Saturday,Mac,United Kingdom,Landing
2021-10-02,11:00:00,Saturday,Android,United States,Detail
2021-10-02,11:00:00,Saturday,Mac,United States,Landing
2021-10-02,11:00:00,Saturday,Mac,Canada,Landing
2021-10-02,11:00:00,Saturday,Mac,United Kingdom,Order completed
2021-10-02,11:00:00,Saturday,Windows,United States,Landing
2021-10-02,11:00:00,Saturday,Android,Canada,Checkout
2021-10-02,12:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,12:00:00,Saturday,Windows,Germany,Landing
2021-10-02,12:00:00,Saturday,Android,New Zealand,Detail
2021-10-02,12:00:00,Saturday,Linux,Canada,Checkout
2021-10-02,12:00:00,Saturday,Windows,United Kingdom,Landing
2021-10-02,13:00:00,Saturday,Android,Canada,Landing
2021-10-02,13:00:00,Saturday,Windows,United Kingdom,Detail
2021-10-02,13:00:00,Saturday,iOS,United Kingdom,Landing
2021-10-02,13:00:00,Saturday,Windows,Canada,Shopping Cart
2021-10-02,13:00:00,Saturday,Mac,United Kingdom,Detail
2021-10-02,13:00:00,Saturday,Android,Brazil,Detail
2021-10-02,13:00:00,Saturday,iOS,New Zealand,Landing
2021-10-02,13:00:00,Saturday,iOS,United Kingdom,Detail
2021-10-02,13:00:00,Saturday,Android,Canada,Detail
2021-10-02,14:00:00,Saturday,iOS,Canada,Landing
2021-10-02,14:00:00,Saturday,Android,United Kingdom,Order completed
2021-10-02,14:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,14:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,14:00:00,Saturday,Windows,Australia,Detail
2021-10-02,14:00:00,Saturday,Android,United States,Order completed
2021-10-02,14:00:00,Saturday,Android,Australia,Shopping Cart
2021-10-02,14:00:00,Saturday,Windows,United States,Shopping Cart
2021-10-02,14:00:00,Saturday,Android,United States,Landing
2021-10-02,14:00:00,Saturday,Android,United Kingdom,Landing
2021-10-02,14:00:00,Saturday,Android,United States,Detail
